89500-536|Abdalla Elias Farfud
89500-431|Abdalla João
89509-640|Abdalla José Thomé
89501-032|Abílio Franco
89506-582|Abilio Paes Carneiro
89506-656|Abílio Viero
89506-036|Absalão Carneiro
89506-412|Absalão Carneiro
89506-472|Acre
89500-743|Adalberto Manoel Petry
89503-120|Adão Kostantiuk
89510-836|Adelia Julieta Pacheco
89500-440|Adelia Thomé João
89500-214|Adelmyr Pressanto
89500-764|Adeodato Manoel Ramos
89506-111|Adolfo Franz Groth
89504-524|Adolfo Franz Groth
89510-779|Adolfo Kletke
89505-032|Adonis Homero Gonçalves Cordeiro
89509-174|Adriano José Chiot
89504-763|Afif João El Messane
89504-563|Afif João El Messane
89503-269|Agostinho Diedrich
89500-785|Agostinho Saraiva
89509-057|Aimoré
89510-815|Alberto Zanatta
89503-460|Albina Maria Biscaro Zardo
89501-335|Albino Phelippe Potrich
89510-857|Albino Phelippe Potrich
89500-419|Albino Putti
89510-641|Alcides Sabino
89503-006|Alcides Tombini
89504-784|Alcir Francisco Zandavalli
89511-265|Aldemira Thives Cruz
89510-583|Aldo Eloy Gatermann
89500-776|Aleixo Gonçalves de Lima
89503-346|Alemanha
89511-027|Alexandre Alves Guerin
89504-655|Alexandre Pegoraro
89504-646|Alexandre Piccoli
89503-414|Alfredo Cachoeira
89503-530|Alfredo Cachoeira
89503-570|Alfredo Gioppo
89505-000|Alfredo Gioppo
89510-595|Alfredo Ribeiro dos Santos
89506-570|Aloys Honório Wagner
89511-136|Altair Ferreia de Souza
89500-025|Altamiro Guimarães, Doutor
89504-518|Altamiro Guimarães, Doutor
89506-003|Altamiro Guimarães, Doutor
89510-824|Alzerino Alves Pereira
89500-497|Amadeu Lizott
89509-009|Amantino Burg
89506-481|Amazonas
89506-478|Amazonas
89506-720|Amazonas
89506-586|Amazonas
89503-418|Américo Ballatka
89504-652|Américo Ballatka
89500-184|Américo Wordell
89509-239|Anair França Peretti
89510-833|Anastácio Amaro de Souza
89511-042|Andorinha
89504-850|Angelina Bernardi Kuczer
89506-554|Angelo Bogio
89510-489|Ângelo Caovilla
89500-329|Ângelo Caovilla
89510-501|Ângelo Caovilla
89500-341|Ângelo Caovilla
89505-083|Angelo Nillo Gatti
89506-135|Angelo Nillo Gatti
89500-332|Ângelo Paganelli
89500-058|Anita Garibaldi
89504-856|Anna Mascarello Fioreze
89507-543|Anna Viero dos Reis
89503-338|Antonina Gluszczak
89510-519|Antônio Appi
89507-812|Antonio Belenki
89510-773|Antônio Bombassaro
89503-182|Antonio Comazzetto
89505-026|Antônio da Silva Ribeiro
89506-724|Antonio de Paula Ribas
89511-260|Antônio Miguel Sulsbach
89510-791|Antônio Ozório
89509-251|Antonio Pereira
89507-594|Antonio Ranzani
89507-720|Antonio Ranzani
89510-827|Antonio Rosa de Oliveira
89506-457|Antonio Rossetto
89509-389|Antônio Rotta
89500-782|Antônio Tavares Júnior
89507-558|Antonio Vicente de Lima
89509-401|Antonio Vivan
89509-635|Antonio Vivan
89507-868|Antonio Woloch
89509-655|Antônio Zarur
89509-398|Antônio Zarur
89506-800|Aparício Mantovani
89500-250|Aquiles de Paula Linhares
89510-010|Araçá
89510-498|Aracaju
89504-778|Araranguá
89510-000|Araucária
89503-241|Arestides Moriggi
89504-548|Argentina
89507-064|Ari Pontes
89500-103|Aristeu Pôrto Lopes
89500-401|Aristides Malfati
89509-054|Aristiliano de Almeida
89506-000|Aristiliano Ramos, Coronel
89506-400|Aristiliano Ramos, Coronel
89507-061|Aristiliano Ramos, Coronel
89510-788|Arlindo Aloys Jung
89507-549|Arlindo Martins da Silva
89509-350|Armindo Dalastra Bonfanti
89507-570|Arnaldo de Paula Timermann
89507-780|Arnaldo de Paula Timermann
89505-080|Arnilda Lessing
89507-573|Arno Willi Fauth
89506-436|Artur Trevisani
89511-225|Ary de Oliveira Carneiro
89511-166|Ary Harres
89500-491|Atílio Basquera
89506-439|Atilio Ceccatto
89500-163|Atílio Faoro
89500-160|Atílio Faoro
89509-024|Augusto Corrêa de Mello
89511-220|Augusto de Paula Carneiro
89503-358|Augusto Driessen
89509-242|Augusto Gonçalves de Moraes
89504-557|Augusto Santo Perret
89504-766|Augusto Santo Perret
89503-226|Augusto Xavier Paes
89507-564|Aurélio Costa
89504-554|Áustria
89504-769|Áustria
89501-265|Av
89510-020|Avelino Mandelli
89510-601|Ayrton Araújo Menzel
89501-024|Azaléias, das
89500-368|Azir de Souza Santos
89506-027|Badem Powel
89506-484|Bahia
89504-503|Balduíno, Tio
89507-864|Bárbara, Santa
89507-519|Bartira
89500-395|Basílio Ciffro
89506-526|Bazbina Akkar
89511-051|Beij
89506-664|Bela Vista
89510-589|Belém
89503-406|Bélgica
89500-109|Benedito Ponciano
89506-652|Benjamin Brasil
89500-082|Benjamin Constant
89510-736|Benjamin Gioppo
89506-409|Benjamin Zandavalli
89504-711|Bento do Sul, São
89507-876|Bernadete, Santa
89501-196|Bernardina Gonçalves de Oliveira Lopes
89509-353|Bernardino Deboni
89506-130|Bertha Groth
89504-572|Bertha Groth
89504-667|Biguaçu
89504-702|Blumenau
89504-533|Bolívia
89504-664|Bom Pastor
89500-770|Bonifácio José dos Santos
89501-270|Bororos
89509-027|Brasília
89500-299|Brasília
89510-480|Brasília
89509-480|Brasília
89504-793|Bruno Cachoeira
89504-676|Brusque
89503-024|Caetano Balvedi
89501-275|Caeté
89501-280|Caiapós
89504-637|Camboriú
89500-073|Campos Novos
89506-418|Campos Sales
89503-386|Canadá
89511-066|Canário
89506-795|Candida Antônia do Canto
89500-320|Canoinhas
89500-226|Capitulino de Moraes
89500-293|Capitulino de Moraes
89509-078|Caraguatá
89501-285|Carijó
89501-393|Carlindo de Paula
89506-030|Carlos Augusto Coelho de Souza
89506-520|Carlos Augusto Coelho de Souza
89504-781|Carlos Dalmas
89500-088|Carlos Sperança
89500-085|Carlos Sperança
89503-015|Castelo Branco, Presidente
89506-403|Castro Alves
89500-124|Catarina, Santa
89500-121|Catarina, Santa
89504-566|Cecilia Maleske
89505-059|Cecilia Maleske
89504-835|Cecília, Santa
89510-025|Cedro
89509-625|Cesar Pereira, Doutor
89503-430|Cestélio Solimann
89506-676|Chico Mendes
89504-530|Chile
89509-230|Cicero Buscarons
89500-190|Cid Gonzaga, Coronel
89509-000|Cid Gonzaga, Coronel
89504-751|Claudino Picoloto
89506-102|Clineu Domingos Berardi
89506-442|Clóvis João Dallazem
89511-345|Clóvis Luiz de Nardi
89504-545|Colômbia
